"tid;""textbody"";""retweet_count"";""retweeted"";""posted"";""posting_user"""
"682944202863456256;""Live tooning the Mummers parade? Excellent. https://t.co/7z7qA7l8cu"";0;0;""2016-01-01 00:00:00"";""inkyamy"""
"682945079884017664;""RT @TheFix: My 2016 prediction: There will be a brokered Republican convention. https://t.co/KV2IK0ty5z"";26;0;""2016-01-01 00:00:00"";""kathyprojo"""
"682950477546303488;""All of here at the NDP wish you a happy"
"682950516926615552;""RT @WhiteHouse: Happy New Year! https://t.co/iGef0ytviq"";2812;0;""2016-01-01 00:00:00"";""NebraskaDems"""
"682950813883318273;""4 Things That Were Supposed To Happen By 2016 Because Obama Was Reelected https://t.co/er0CLZGwA3 via @thinkprogress"";1;0;""2016-01-01 00:00:00"";""NebraskaDems"""
"682951986787053568;""@c130q enlisted as volunteer 1971-74 w/ the U.S. Army after college as NATO counter-intelligence agent in West Germany."";1;0;""2016-01-01 00:00:00"";""gov_gilmore"""
"682952371291303936;""Caucus training scheduled for 1/9 at 10 A.M. by Sarpy County Democrats...https://t.co/q8LhZEALoT"";1;0;""2016-01-01 00:00:00"";""NebraskaDems"""
"682952413490319360;""Outstanding! Philly s animal heroes. https://t.co/ana698YsIF"";0;0;""2016-01-01 00:00:00"";""inkyamy"""
"682952905792589825;""RT @swimmomjj: @deknightberight @gov_gilmore &lt;=Needs more air time. Considering the trash currently on my tv"
"682954511510560768;""From our family to yours"
"682963127651061760;""Happy New Year from the @SoDakDems https://t.co/45oSjUmuEK"";2;0;""2016-01-01 00:00:00"";""SoDakDems"""
"682963928205246464;""Happy New Year!"";50;0;""2016-01-01 00:00:00"";""MartinOMalley"""
"682966187873980416;""Happy New Year! Help us set the pace nationally as we have officially entered the 2016 election battleground. https://t.co/1iHMzVcpe0"";0;0;""2016-01-01 00:00:00"";""MSGOP"""
"682966330727731200;""RT @LOLGOP: FUN FACT: An actual birther is the GOP frontrunner and not one of Republican opponents has called him out on this."";141;0;""2016-01-01 00:00:00"";""NebraskaDems"""
"682968589826146306;""The ultimate #Philly2015 mashup. https://t.co/WdVnVjRXgu"";0;0;""2016-01-01 00:00:00"";""inkyamy"""
"682969201485557762;""RT @FoxNews: .@RealBenCarson on wife Candy: She s the best...it was the best gift He ever gave me. #FoxNews2016 https://t.co/gKNiQDHJrg"";200;0;""2016-01-01 00:00:00"";""RealBenCarson"""
"682969606844203008;""Tragic. A sorrowful way to start the new year.  https://t.co/G3dIEv0rCi"";1;0;""2016-01-01 00:00:00"";""inkyamy"""
"682969778735157248;""Crazy people!!!! https://t.co/973WZyriB8"";1;0;""2016-01-01 00:00:00"";""kathyprojo"""
"682969910394368000;""https://t.co/t0pFCTBGsZ"";1;0;""2016-01-01 00:00:00"";""kathyprojo"""
"682969975695519745;""https://t.co/I2zYvYFlM2"";0;0;""2016-01-01 00:00:00"";""kathyprojo"""
"682970508871208961;""RT @KYHouseGOP: ALERT: .@KYHoover"
"682970538801774598;""https://t.co/o0XM7MXrOJ"";1;0;""2016-01-01 00:00:00"";""kathyprojo"""
"682970868297916416;""More Philly animal heroes.  https://t.co/GJjqPKCeSk"";0;0;""2016-01-01 00:00:00"";""inkyamy"""
"682971689295069185;""RT @joenosef: Happy New Year from the @MSGOP please see our message and how to be part of the team!  https://t.co/j2wlNjYCQ5"";1;0;""2016-01-01 00:00:00"";""MSGOP"""
